Rk,Player,Name,Tag,Season,Age,Tm,Lg,PTS,TS%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%
66,Mitch Richmond\richmmi01,Mitch Richmond,richmmi01,1996-97,31,SAC,NBA,35.3,0.578,10.8,81,81,3125,717,1578,513,1101,204,477,457,531,59,260,319,338,118,24,237,211,2095,0.454,0.466,0.428,0.519,0.861
67,Ray Allen\allenra02,Ray Allen,allenra02,2004-05,29,SEA,NBA,33.3,0.555,10.7,78,78,3064,640,1494,431,938,209,556,378,428,79,268,347,289,84,5,171,167,1867,0.428,0.459,0.376,0.498,0.883
68,Kobe Bryant\bryanko01,Kobe Bryant,bryanko01,2003-04,25,LAL,NBA,33.1,0.551,10.7,65,64,2447,516,1178,445,961,71,217,454,533,103,256,359,330,112,28,171,176,1557,0.438,0.463,0.327,0.468,0.852
69,George Gervin\gervige01,George Gervin,gervige01,1981-82,29,SAS,NBA,42.4,0.562,10.7,79,79,2817,993,1987,983,1951,10,36,555,642,138,254,392,187,77,45,210,215,2551,0.5,0.504,0.278,0.502,0.864
70,David Thompson\thompda01,David Thompson,thompda01,1976-77,22,DEN,NBA,30.6,0.559,10.7,82,,3001,824,1626,824,1626,,,477,623,138,196,334,337,114,53,,236,2125,0.507,0.507,,0.507,0.766
71,George Gervin\gervige01,George Gervin,gervige01,1979-80,27,SAS,NBA,38.6,0.587,10.6,78,,2934,1024,1940,992,1838,32,102,505,593,154,249,403,202,110,79,254,208,2585,0.528,0.54,0.314,0.536,0.852
72,Manu Ginobili\ginobma01,Manu Ginobili,ginobma01,2006-07,29,SAS,NBA,32.2,0.609,10.6,75,36,2060,396,854,268,531,128,323,320,372,59,268,327,263,109,27,157,155,1240,0.464,0.505,0.396,0.539,0.86
73,Vince Carter\cartevi01,Vince Carter,cartevi01,2006-07,30,NJN,NBA,34.8,0.559,10.5,82,82,3126,726,1598,570,1161,156,437,462,576,114,378,492,393,82,30,217,266,2070,0.454,0.491,0.357,0.503,0.802
74,George Gervin\gervige01,George Gervin,gervige01,1976-77,24,SAS,NBA,30.1,0.604,10.5,82,,2705,726,1335,726,1335,,,443,532,134,320,454,238,105,104,,286,1895,0.544,0.544,,0.544,0.833
75,George Gervin\gervige01,George Gervin,gervige01,1980-81,28,SAS,NBA,37.5,0.555,10.5,82,,2765,850,1729,841,1694,9,35,512,620,126,293,419,260,94,56,251,212,2221,0.492,0.496,0.257,0.494,0.826
76,Paul Westphal\westppa01,Paul Westphal,westppa01,1979-80,29,PHO,NBA,30.8,0.593,10.5,82,,2665,692,1317,666,1224,26,93,382,443,46,141,187,416,119,35,207,162,1792,0.525,0.544,0.28,0.535,0.862
77,Kyrie Irving\irvinky01,Kyrie Irving,irvinky01,2014-15,22,CLE,NBA,31,0.583,10.4,75,75,2730,578,1235,421,857,157,378,315,365,55,182,237,389,114,20,186,146,1628,0.468,0.491,0.415,0.532,0.863
78,Damian Lillard\lillada01,Damian Lillard,lillada01,2016-17,26,POR,NBA,37.3,0.586,10.4,75,75,2694,661,1488,447,909,214,579,488,545,46,322,368,440,68,20,197,152,2024,0.444,0.492,0.37,0.516,0.895
79,Paul Westphal\westppa01,Paul Westphal,westppa01,1978-79,28,PHO,NBA,32.5,0.58,10.4,81,,2641,801,1496,801,1496,,,339,405,35,124,159,529,111,26,232,159,1941,0.535,0.535,,0.535,0.837
80,Reggie Miller\millere01,Reggie Miller,millere01,1995-96,30,IND,NBA,32.9,0.625,10.3,76,76,2621,504,1066,336,656,168,410,430,498,38,176,214,253,77,13,189,175,1606,0.473,0.512,0.41,0.552,0.863
81,Jim Paxson\paxsoji02,Jim Paxson,paxsoji02,1982-83,25,POR,NBA,30.5,0.573,10.2,81,81,2740,682,1323,678,1298,4,25,388,478,68,106,174,231,140,17,156,160,1756,0.515,0.522,0.16,0.517,0.812
82,Ray Allen\allenra02,Ray Allen,allenra02,1999-00,24,MIL,NBA,30.5,0.57,10.1,82,82,3070,642,1411,470,1004,172,407,353,398,83,276,359,308,110,19,183,187,1809,0.455,0.468,0.423,0.516,0.887
83,Walter Davis\daviswa03,Walter Davis,daviswa03,1977-78,23,PHO,NBA,32.6,0.577,10.1,81,,2590,786,1494,786,1494,,,387,466,158,326,484,273,113,20,283,242,1959,0.526,0.526,,0.526,0.83
84,World B. Free\freewo01,World B. Free,freewo01,1978-79,25,SDC,NBA,34.3,0.552,10.1,78,,2954,795,1653,795,1653,,,654,865,127,174,301,340,111,35,297,253,2244,0.481,0.481,,0.481,0.756
85,Kyle Lowry\lowryky01,Kyle Lowry,lowryky01,2016-17,30,TOR,NBA,30.4,0.623,10.1,60,60,2244,426,918,233,450,193,468,299,365,48,238,286,417,88,19,173,170,1344,0.464,0.518,0.412,0.569,0.819
86,Mike Conley\conlemi01,Mike Conley,conlemi01,2016-17,29,MEM,NBA,32.1,0.604,10,69,68,2292,464,1009,293,590,171,419,316,368,31,210,241,433,92,19,156,126,1415,0.46,0.497,0.408,0.545,0.859
